"Cargo type"," (Weight)"
"0000","132079.78"
"00000",
"000111",
"000201","190088.22"
"000202","46494"
"000203",
"000204","41761.8"
"000205",
"000302","49400"
"000306",
"000402","228312"
"000403",
"000404","64460"
"000406",
"000409",
"000410",
"000414",
"000501",
"000504",
"000520",
"000522",
"000525","188154"
"000526",
"000534",
"000540",
"000542",
"000543",
"000546",
"000549",
"000554",
"000555",
"000564",
"000602",
"000604","5500.8"
"000605",
"000607",
"000608","14717"
"000609",
"000610",
"000611","404937.6"
"000614",
"000615",
"000616",
"000617",
"000618",
"000620",
"000621","26964"
"000624","5950"
"000626",
"000629",
"000631",
"000632","76780"
"000635",
"000637",
"000638",
"000702",
"000708",
"000709",
"000710",
"000711",
"000712",
"000713","442492"
"000715",
"000716",
"000718",
"000721",
"000722",
"000724","45824"
"000726","32970"
"000727",
"000728",
"000732",
"000734",
"000742",
"000745",
"000750",
"000802",
"000807","314058.4"
"000809",
"000811","102154.32"
"000901","928932"
"000903","40756"
"001001","239072"
"001002",
"001003",
"001008",
"001009",
"001010","7451350.774"
"001011",
"001012",
"001101",
"001103",
"001111","8745668"
"001117",
"001123",
"001125",
"001130",
"001204","70361.15"
"001206",
"001208",
"001209",
"001212","229139.7"
"001214",
"001302",
"001308",
"001318",
"001320",
"001326",
"001328",
"001335",
"001345",
"001349",
"001353",
"001355",
"001364",
"001365",
"001366",
"001370","27300"
"001401",
"001402","6153"
"001404","254841.9"
"001405",
"001406","25182.3"
"001407","21673.73"
"001408","207667.01"
"001409",
"001411","80275.19"
"001412","252195.71"
"001501",
"001602","398404.12"
"001605",
"001607","20520"
"001608",
"001610",
"001612",
"001801",
"001901","316824"
"002001","939938.21"
"002002","31651.9"
"002003",
"002004",
"002101",
"002102","8729.14"
"002103",
"0022",
"002201",
"002301","1953.8"
"002302","10057"
"002303","436458"
"002304","21008"
"002305",
"002306","10740"
"002307",
"002308","608344.99"
"002309",
"002311",
"002312",
"002313","89206"
"002314",
"002315",
"002316",
"002317","163882"
"002401","43787657.666"
"002501","7149"
"002502","323582"
"002503","667107.87"
"002504",
"002505",
"002601",
"002701",
"002702","488589"
"002703","78156"
"002801","56848.109"
"002802","20869792.336"
"002803","141019"
"002804","160832"
"002901",
"002902",
"002903",
"002904",
"002905","17185.88"
"002906",
"002907",
"002908",
"002909","13673.88"
"002910","7160.36"
"003002",
"003101",
"003102",
"003104",
"003201","76011.55"
"003202",
"003203",
"003204","53272.92"
"003205","37719"
"003206","100980"
"003207","124623.35"
"003208",
"003209","177408"
"003210","289960.429"
"003211",
"003301",
"003401",
"003501",
"003601","38910"
"003701",
"003703","151900"
"003801","10300.081"
"003802",
"003901",
"003902",
"003903",
"004001",
"004101",
"004102",
"004103","49233.11"
"004104","5257.49"
"004105",
"004106","396105.23"
"004107","77735.4"
"004108",
"004110",
"004111",
"004112",
"004113","46622.5"
"004114","30768.97"
"004115",
"004116",
"004117",
"004118","52401.2"
"004119",
"004120",
"004121","22560"
"004201","357921.02"
"004202","33678.46"
"004203",
"004204",
"004301",
"004302",
"004401","77235.54"
"004501",
"004601",
"004602","161643.47"
"004603",
"004605",
"004606","10667"
"004607",
"004608",
"004609",
"004701",
"004702",
"004703","4561694.55"
"004704","16282815"
"004706","28644637"
"004707","108370"
"004709",
"006071",
"0103","19460"
"010310",
"010410",
"010512",
"010612",
"020110",
"0202",
"020200",
"020210",
"020220","27533.82"
"020230",
"0203","64334.08"
"020300",
"020311",
"020312",
"020321",
"020329",
"0206","389410"
"020610",
"020649","159788.02"
"0207",
"020714","52000"
"0209",
"0210","13462"
"021000",
"021019",
"02101981",
"0238",
"030111",
"0302","19988"
"030211",
"030241",
"03024100",
"030249",
"030269",
"0303","849489.53"
"030300",
"030311",
"03031100",
"030312",
"030313","458176.07"
"030314",
"030323",
"03032500",
"030339",
"030349",
"030351","101400"
"03035100",
"030353","207480"
"03035390",
"030354",
"03035400",
"03035410","169050"
"030355",
"030360",
"030363",
"030366",
"03036810",
"030369",
"030371",
"03037100",
"030374",
"03037400",
"030380",
"030389","24893"
"030390",
"030391",
"030399",
"0304","241391"
"03042200",
"030444",
"03045990",
"030462","53500"
"030471",
"03047190","48933.5"
"030472","4103.5"
"03047300",
"030474",
"030475","54600"
"030479",
"030481",
"030483",
"03048600",
"030487","104698"
"030489","70814"
"03048910",
"030495",
"030499",
"03049999","19570"
"0305","25915"
"03051000",
"030520",
"030530",
"030539",
"030542",
"03054200",
"030551",
"03055110",
"030559",
"030563",
"0306","22000"
"030611",
"030613",
"030614",
"030617","93570"
"03061710",
"030635",
"0307","29185"
"030743",
"030749",
"03074905",
"030772",
"0333",
"0401",
"04011010",
"040150","20000"
"0402","1569104"
"040210","224920"
"04021010",
"04021019",
"040221",
"04022118","24732"
"04022125",
"040299",
"04029968",
"0403",
"040310","25093.12"
"04031011","49798.2"
"040390",
"0404","1092250"
"040410","282140"
"04041002",
"04041012",
"040490",
"0405","295066"
"040510",
"04051011",
"040590",
"04059010",
"0406","202412.06"
"040610","88641.34"
"04061020",
"040630",
"040690","158502.78"
"0407","138950.81"
"040721","211413.21"
"040891",
"0409",
"040900",
"0440",
"050210",
"0504","39860"
"050400",
"05040000",
"0505",
"050510",
"050590",
"0506",
"0511","96108"
"051191",
"051199",
"05119985",
"060210",
"060220",
"060230",
"060290",
"0603",
"060311",
"060313",
"060319",
"060390",
"06039000",
"0604",
"06041000",
"060490","17344.36"
"0701","51000"
"070110",
"07011000",
"070190",
"070200",
"0703",
"070320",
"0706",
"070610",
"0708",
"070810",
"07081000","3340120"
"070890",
"07089000","50814390"
"070990",
"070992",
"070999",
"0710",
"071010",
"07102100",
"071022",
"07102200",
"071040",
